date,total_bal,bal_chg,bal_chg_pct,rz_mktcap_ratio,bal_mktcap_ratio,rz_bal,rq_bal,rz_buy,rq_sell,rz_repay,rz_net,mkt_turnover,sh_turnover,sz_turnover,bj_turnover,turnover_ratio,source
2026-03-13,26517.0,-129.47,-0.4859,2.5515,2.5599,26332.42,184.57,2185.41,8.69,2135.53,97.4,13779.4,5864.63,7816.07,98.7,9.08,eastmoney
2026-03-16,26613.67,96.67,0.3646,2.5515,2.5693,26429.81,183.85,2232.93,8.2,2135.53,97.4,,,,,9.58,eastmoney
2026-03-17,26520.22,-93.45,-0.3511,2.5744,2.592,26339.73,180.49,1993.48,8.87,2083.55,-90.07,20612.17,8763.27,11697.36,151.54,9.0,eastmoney
2026-03-18,26545.59,25.37,0.0957,2.5623,2.5798,26365.14,180.45,1925.79,8.69,1900.37,25.43,21274.72,9352.65,11757.04,165.03,9.39,eastmoney
2026-03-19,26501.11,-44.48,-0.1676,2.602,2.6197,26322.28,178.84,1918.69,9.91,1961.55,-42.86,23030.89,9648.63,13219.96,162.3,9.07,eastmoney
2026-03-20,26322.76,-178.35,-0.673,2.6156,2.6331,26148.19,174.57,2074.81,9.22,2248.89,-174.08,24484.93,10862.48,13452.99,169.46,9.05,eastmoney
2026-03-23,26200.03,-122.73,-0.4663,2.7073,2.7247,26033.08,166.95,2101.86,9.95,2216.96,-115.1,20962.26,9314.19,11514.49,133.58,8.63,eastmoney
2026-03-24,26135.78,-64.25,-0.2452,2.6495,2.667,25964.09,171.69,1802.67,10.68,1871.65,-68.97,21930.5,9678.54,12119.75,132.21,8.65,eastmoney
2026-03-25,26174.36,38.58,0.1476,2.6109,2.6288,25995.68,178.67,2062.4,11.75,2030.8,31.6,19571.32,8483.61,10952.55,135.16,9.46,eastmoney
2026-03-26,26165.3,-9.06,-0.0346,2.6416,2.6597,25987.31,177.99,1761.6,9.96,1769.96,-8.36,18639.95,7996.96,10535.77,107.22,9.05,eastmoney
